   vesselname    |   imo   |   mmsi    |      type      |     longitude     |     latitude
 ELEONORA MAERSK | 9321500 | 220477000 | container_ship |  22.2721366666667 | 34.4374633333333
 GUNDE MAERSK    | 9359014 | 220594000 | container_ship |  128.100713333333 |        34.073285
 EBBA MAERSK     | 9321524 | 220497000 | container_ship |  119.173593333333 | 24.5295733333333
 ESTELLE MAERSK  | 9321495 | 220478000 | container_ship |  79.8288833333333 |         5.694515
 EUGEN MAERSK    | 9321550 | 220503000 | container_ship |            94.486 | 5.99516666666667
 EDITH MAERSK    | 9321548 | 220501000 | container_ship |  16.8309216666667 | 35.9387133333333
 GUTHORM MAERSK  | 9359040 | 220597000 | container_ship |         104.14606 |         1.263965
 GERDA MAERSK    | 9359052 | 220598000 | container_ship |  123.328278333333 | 30.5941933333333
 EVELYN MAERSK   | 9321512 | 220496000 | container_ship |          4.261725 | 51.2958283333333
 GUSTAV MAERSK   | 9359038 | 220596000 | container_ship |         -118.2404 |         33.75199
 EMMA MAERSK     | 9321483 | 220417000 | container_ship |           3.34257 | 52.1630716666667
 GERNER MAERSK   | 9359002 | 220593000 | container_ship | -125.055876666667 | 38.2526833333333
 ELLY MAERSK     | 9321536 | 220499000 | container_ship |  105.099973333333 |         2.485485
 GUNHILDE MAERSK | 9359026 | 220595000 | container_ship |  114.350526666667 | 21.9670983333333
